"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","checkpoint_path","data_percentage","dropout","frames","lr","lr_scheduler_init/class_path","lr_scheduler_init/init_args/gamma","lr_scheduler_init/init_args/last_epoch","lr_scheduler_init/init_args/step_size","lr_scheduler_init/init_args/verbose","mode","multi_instance","multi_view_strategy","optimizer_init/class_path","optimizer_init/init_args/amsgrad","optimizer_init/init_args/betas","optimizer_init/init_args/eps","optimizer_init/init_args/lr","optimizer_init/init_args/maximize","optimizer_init/init_args/weight_decay","output_classes","pretrained","print_attention_maps","proj_dim","proj_layers","task","video_model","video_model_depth","wd","optimizer_init/init_args/capturable","epoch","loss_epoch","loss_step","mae_epoch","mae_step","mse_epoch","mse_step","trainer/global_step","val_loss_epoch","val_loss_step","val_mae_epoch","val_mae_step","val_mse_epoch","val_mse_step"
"2023-07-09-12:26:06_version_24","finished","-","rshad","","2023-07-11T04:30:32.000Z","39400","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=549-step=113850.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.1463584899902344","1.546161651611328","3.611704587936402","2.046161651611328","26.05668830871582","4.186777591705322","49999","2.782370090484619","1.7046585083007812","3.251688003540039","2.2046585083007812","18.528940200805664","4.860518932342529"
"2023-07-09-12:26:06_version_23","finished","-","rshad","","2023-07-10T23:59:45.000Z","75622","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=539-step=111780.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","2.842491865158081","0.18873834609985352","3.3072943687438965","0.6143913269042969","20.624778747558594","0.37747669219970703","49999","2.7792184352874756","1.9838638305664065","3.241997003555298","2.4838638305664062","18.43361473083496","6.16957950592041"
"2023-07-09-12:26:06_version_22","finished","-","rshad","","2023-07-10T19:03:25.000Z","40261","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=529-step=109710.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","2.9700021743774414","0.5388946533203125","3.4358417987823486","1.0388946533203125","25.04188346862793","1.0793020725250244","49999","2.7640554904937744","1.7176361083984375","3.2263894081115723","2.2176361083984375","18.26721954345703","4.917910099029541"
"2023-07-09-12:26:06_version_21","finished","-","rshad","","2023-07-10T18:51:20.000Z","40482","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=519-step=107640.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.0246152877807617","2.1372718811035156","3.4938745498657227","2.6372718811035156","24.129112243652344","6.955203056335449","49999","2.778189897537231","2.404010772705078","3.2431654930114746","2.904010772705078","18.39024353027344","8.433279037475586"
"2023-07-09-12:26:06_version_20","finished","-","rshad","","2023-07-10T18:34:12.000Z","73058","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=509-step=105570.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.015029191970825","4.046627044677734","3.4762277603149414","4.546627044677734","24.35128593444824","20.671817779541016","49999","2.7643890380859375","2.0405006408691406","3.2310049533843994","2.5405006408691406","18.12748908996582","6.454143524169922"
"2023-07-09-12:26:06_version_2","finished","-","rshad","","2023-07-12T00:50:29.000Z","80560","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=329-step=68310.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.114584684371948","12.04303741455078","3.58249831199646","12.54303741455078","25.173725128173828","157.32778930664062","49999","2.752861738204956","2.1219024658203125","3.2187061309814453","2.6219024658203125","18.113990783691406","6.874372482299805"
"2023-07-09-12:26:06_version_19","finished","-","rshad","","2023-07-10T18:15:30.000Z","40230","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=499-step=103500.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","2.8762474060058594","2.3668785095214844","3.3445451259613037","2.8668785095214844","22.51311492919922","8.218992233276367","49999","2.7502965927124023","1.573150634765625","3.223994493484497","2.073150634765625","18.350727081298828","4.2979536056518555"
"2023-07-09-12:26:06_version_18","finished","-","rshad","","2023-07-10T17:34:38.000Z","49581","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=489-step=101430.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.00065279006958","0.28130435943603516","3.4651834964752197","0.7500724792480469","24.242712020874023","0.5626087188720703","49999","2.7241995334625244","1.7612037658691406","3.1917386054992676","2.2612037658691406","17.966516494750977","5.11304235458374"
"2023-07-09-12:26:06_version_17","finished","-","rshad","","2023-07-10T17:32:43.000Z","39288","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=479-step=99360.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","2.9946048259735107","1.576580047607422","3.4532506465911865","2.076580047607422","23.601837158203125","4.312184810638428","49999","2.7653517723083496","1.729412078857422","3.228383779525757","2.229412078857422","18.42981719970703","4.970278263092041"
"2023-07-09-12:26:06_version_16","finished","-","rshad","","2023-07-10T16:04:19.000Z","66065","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=469-step=97290.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","2.8977389335632324","8.179145812988281","3.3597323894500732","8.679145812988281","22.60560607910156","75.32757568359375","49999","2.7817025184631348","1.9298210144042969","3.2526204586029053","2.429821014404297","18.704517364501953","5.9040303230285645"
"2023-07-09-12:26:06_version_15","finished","-","rshad","","2023-07-10T15:23:24.000Z","68644","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=459-step=95220.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.1321420669555664","5.216556549072266","3.600724220275879","5.716556549072266","27.727190017700195","32.679019927978516","49999","2.747549533843994","1.392425537109375","3.211881637573242","1.892425537109375","18.4105224609375","3.5812745094299316"
"2023-07-09-12:26:06_version_14","finished","-","rshad","","2023-07-10T08:51:41.000Z","66718","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=449-step=93150.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.1986844539642334","2.7996826171875","3.661027431488037","3.2996826171875","27.696044921875","10.88790512084961","49999","2.773282051086426","2.248497009277344","3.2351458072662354","2.748497009277344","18.21016311645508","7.554235935211182"
"2023-07-09-12:26:06_version_13","finished","-","rshad","","2023-07-10T08:51:41.000Z","65718","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=439-step=91080.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.0990121364593506","1.8726806640625","3.5590484142303467","2.3726806640625","27.544607162475582","5.629613399505615","49999","2.7917251586914062","2.5604934692382812","3.259155035018921","3.0604934692382812","18.58839988708496","9.366620063781738"
"2023-07-09-12:26:06_version_12","finished","-","rshad","","2023-07-10T07:53:22.000Z","40154","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=429-step=89010.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.0315704345703125","1.4064788818359375","3.5040810108184814","1.9064788818359375","22.50697326660156","3.634661674499512","49999","2.753464937210083","1.6348419189453125","3.21382999420166","2.1348419189453125","18.400800704956055","4.557549953460693"
"2023-07-09-12:26:06_version_11","finished","-","rshad","","2023-07-10T07:40:05.000Z","40213","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=419-step=86940.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","2.9188344478607178","1.738555908203125","3.3875532150268555","2.238555908203125","22.5756778717041","5.011132717132568","49999","2.7599315643310547","1.424297332763672","3.225044012069702","1.924297332763672","18.525835037231445","3.702920198440552"
"2023-07-09-12:26:06_version_10","finished","-","rshad","","2023-07-10T07:29:42.000Z","38638","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=409-step=84870.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.0115597248077393","1.1830482482910156","3.4802258014678955","1.6830482482910156","22.910221099853516","2.832651376724243","49999","2.7302441596984863","1.647014617919922","3.1964049339294434","2.147014617919922","18.11046028137207","4.609671592712402"
