"epoch","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - _step","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - _step__MIN","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - _step__MAX","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - loss_epoch","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - loss_epoch__MIN","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - loss_epoch__MAX"
"66","7136","7136","7136","0.7920491695404053","0.7920491695404053","0.7920491695404053"
"67","7244","7244","7244","0.7780005931854248","0.7780005931854248","0.7780005931854248"
"68","7352","7352","7352","0.7687112092971802","0.7687112092971802","0.7687112092971802"
"69","7460","7460","7460","0.7608094811439514","0.7608094811439514","0.7608094811439514"
"70","7568","7568","7568","0.7521833777427673","0.7521833777427673","0.7521833777427673"
"71","7676","7676","7676","0.7447133660316467","0.7447133660316467","0.7447133660316467"
"72","7785","7785","7785","0.7514639496803284","0.7514639496803284","0.7514639496803284"
"73","7893","7893","7893","0.7403929829597473","0.7403929829597473","0.7403929829597473"
"74","8001","8001","8001","0.7293046116828918","0.7293046116828918","0.7293046116828918"
"75","8109","8109","8109","0.7236705422401428","0.7236705422401428","0.7236705422401428"
"76","8217","8217","8217","0.7110783457756042","0.7110783457756042","0.7110783457756042"
